question,database,output,type,cypher,explanation,syntax_error,timeout,returns_results,no_cypher
"What are the titles of the movies directed by ""봉준호""?",neo4j,"<explanation>
The query will first match all movies that have a relationship of type `DIRECTED_BY` to the `Director` with the name ""봉준호"". Then, it will collect all the titles of those movies and return them in a list. 
</explanation>

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})
WITH m
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})
WITH m
RETURN m.title","The query will first match all movies that have a relationship of type `DIRECTED_BY` to the `Director` with the name ""봉준호"". Then, it will collect all the titles of those movies and return them in a list.",False,False,True,False
"Which movies feature the actor ""이성재""?",neo4j,"<explanation>
This query finds all movies that have a relationship of type `ACTED_BY` to an actor named ""이성재"". It starts by matching all `Movie` nodes and then follows the `ACTED_BY` relationship to find the actor who acted in the movie. Finally, it filters the movies based on the `name` property of the actor, returning only the movies where the actor's name is ""이성재"".
</explanation>
```cypher
MATCH (m:Movie)-[:ACTED_BY]->(a:Actor)
WHERE a.name = ""이성재""
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:ACTED_BY]->(a:Actor)
WHERE a.name = ""이성재""
RETURN m.title","This query finds all movies that have a relationship of type `ACTED_BY` to an actor named ""이성재"". It starts by matching all `Movie` nodes and then follows the `ACTED_BY` relationship to find the actor who acted in the movie. Finally, it filters the movies based on the `name` property of the actor, returning only the movies where the actor's name is ""이성재"".",False,False,False,False
"What is the synopsis of the movie ""플란다스의 개""?",neo4j,"<explanation>
This query first matches the movie with the title ""플란다스의 개"". Then it traverses the `HAS_SYNOPSIS` relationship to get the `Synopsis` node and returns its `text` property.
</explanation>
```cypher
MATCH (m:Movie {title: ""플란다스의 개""})-[:HAS_SYNOPSIS]->(s:Synopsis)
RETURN s.text
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""플란다스의 개""})-[:HAS_SYNOPSIS]->(s:Synopsis)
RETURN s.text","This query first matches the movie with the title ""플란다스의 개"". Then it traverses the `HAS_SYNOPSIS` relationship to get the `Synopsis` node and returns its `text` property.",False,False,True,False
"Who directed the movie with the id ""198""?",neo4j,"<explanation>
This query will first find the movie with the `id` property set to ""198"". 
Then it will use the `DIRECTED_BY` relationship to find the director of that movie.
Finally, the query will return the `name` property of the director. 
</explanation>
```cypher
MATCH (m:Movie {id: 198})<-[:DIRECTED_BY]-(d:Director)
RETURN d.name
```",Simple Retrieval Queries,"MATCH (m:Movie {id: 198})<-[:DIRECTED_BY]-(d:Director)
RETURN d.name","This query will first find the movie with the `id` property set to ""198"". 
Then it will use the `DIRECTED_BY` relationship to find the director of that movie.
Finally, the query will return the `name` property of the director.",False,False,False,False
"List the names of all actors who acted in ""주노명 베이커리"".",neo4j,"<explanation>
This Cypher query will first match all movies with the title ""주노명 베이커리"". Then, it will match all actors who acted in these movies using the `ACTED_BY` relationship. Finally, it will return the names of all matched actors.
</explanation>
```cypher
MATCH (m:Movie {title: ""주노명 베이커리""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""주노명 베이커리""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name","This Cypher query will first match all movies with the title ""주노명 베이커리"". Then, it will match all actors who acted in these movies using the `ACTED_BY` relationship. Finally, it will return the names of all matched actors.",False,False,False,False
"Which movie has the synopsis starting with ""대학 시간강사인 고윤주""?",neo4j,"<explanation>
This query first matches all Synopsis nodes whose `text` property starts with ""대학 시간강사인 고윤주"". Then, it traverses the `HAS_SYNOPSIS` relationship to the corresponding Movie node and returns the `title` of that movie.
</explanation>

```cypher
MATCH (s:Synopsis)
WHERE s.text STARTS WITH ""대학 시간강사인 고윤주""
MATCH (m:Movie)<-[:HAS_SYNOPSIS]-(s)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (s:Synopsis)
WHERE s.text STARTS WITH ""대학 시간강사인 고윤주""
MATCH (m:Movie)<-[:HAS_SYNOPSIS]-(s)
RETURN m.title","This query first matches all Synopsis nodes whose `text` property starts with ""대학 시간강사인 고윤주"". Then, it traverses the `HAS_SYNOPSIS` relationship to the corresponding Movie node and returns the `title` of that movie.",False,False,False,False
Find the names of directors who have directed more than one movie.,neo4j,"<explanation>
This query first matches all movies and their directors. Then, it uses `collect(director.name)` to collect all directors for each movie. The `size()` function counts the number of directors in the list. The `WHERE` clause filters movies that have more than one director. Finally, it returns the names of the directors who have directed more than one movie.
</explanation>
```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(director:Director)
WITH m, collect(director.name) AS directors
WHERE size(directors) > 1
RETURN directors
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(director:Director)
WITH m, collect(director.name) AS directors
WHERE size(directors) > 1
RETURN directors","This query first matches all movies and their directors. Then, it uses `collect(director.name)` to collect all directors for each movie. The `size()` function counts the number of directors in the list. The `WHERE` clause filters movies that have more than one director. Finally, it returns the names of the directors who have directed more than one movie.",False,True,False,False
What is the title of the movie with the longest synopsis?,neo4j,"<explanation>
This query first matches all movies and their synopses. Then it calculates the length of each synopsis using `size(synopsis.text)` and groups the movies by their titles. For each group, it takes the movie with the longest synopsis using `max(synopsisLength)`. Finally, it returns the title of the movie with the longest synopsis.
</explanation>
```cypher
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(synopsis:Synopsis)
WITH m, synopsis, size(synopsis.text) AS synopsisLength
WITH m, max(synopsisLength) AS maxSynopsisLength
WHERE synopsisLength = maxSynopsisLength
RETURN m.title AS movieTitle
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:HAS_SYNOPSIS]->(synopsis:Synopsis)
WITH m, synopsis, size(synopsis.text) AS synopsisLength
WITH m, max(synopsisLength) AS maxSynopsisLength
WHERE synopsisLength = maxSynopsisLength
RETURN m.title AS movieTitle","This query first matches all movies and their synopses. Then it calculates the length of each synopsis using `size(synopsis.text)` and groups the movies by their titles. For each group, it takes the movie with the longest synopsis using `max(synopsisLength)`. Finally, it returns the title of the movie with the longest synopsis.",False,True,False,False
"Retrieve the first 3 movies that were directed by ""박헌수"".",neo4j,"<explanation>
This Cypher query will first match all movies that were directed by ""박헌수"". Then, it will sort the movies by their title in ascending order. Finally, it will return the first 3 movies from the sorted list.
</explanation>
```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""박헌수""})
WITH m
ORDER BY m.title ASC
RETURN m.title LIMIT 3
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""박헌수""})
WITH m
ORDER BY m.title ASC
RETURN m.title LIMIT 3","This Cypher query will first match all movies that were directed by ""박헌수"". Then, it will sort the movies by their title in ascending order. Finally, it will return the first 3 movies from the sorted list.",False,False,True,False
"Find the actors who have acted in movies directed by ""봉준호"".",neo4j,"<explanation>
This query first matches all movies directed by ""봉준호"". Then, it matches all actors who have acted in those movies and returns their names.
</explanation>
```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name","This query first matches all movies directed by ""봉준호"". Then, it matches all actors who have acted in those movies and returns their names.",False,False,False,False
